Age,Birth Place,Birthday,College,Current Status,Current Team,Experience,Height (inches),High School,High School Location,Name,Number,Player Id,Position,Weight (lbs),Years Played
21,"Decatur , GA",7/14/1995,Georgia Tech,Active,Carolina Panthers,Rookie,76,Westminster HS,"Atlanta, GA","Butker, Harrison",,harrisonbutker/2558245,K,199,
21,"Toledo , OH",1/3/1996,Notre Dame,Active,Cleveland Browns,Rookie,76,Central Catholic HS,"Toledo, OH","Kizer, DeShone",,deshonekizer/2557983,QB,230,
21,"Tyler , TX",9/17/1995,Texas Tech,Active,Kansas City Chiefs,Rookie,75,Whitehouse HS,TX,"Mahomes, Patrick",,patrickmahomes/2558125,QB,215,
21,"Gainesville , GA",9/14/1995,Clemson,Active,Houston Texans,Rookie,75,Gainesville HS,GA,"Watson, Deshaun",,deshaunwatson/2558063,QB,218,
20,"Oakley , CA",7/24/1996,Oklahoma,Active,Cincinnati Bengals,Rookie,73,Freedom HS,"Oakley, CA","Mixon, Joe",,joemixon/2557976,RB,226,
21,"Sarasota , FL",3/7/1996,South Florida,Active,Indianapolis Colts,Rookie,72,Booker HS,"Sarasota, FL","Mack, Marlon",,marlonmack/2558123,RB,210,
21,"Jackson , AL",9/16/1995,Oklahoma,Active,Washington Redskins,Rookie,70,Hendrickson HS,"Pflugerville, TX","Perine, Samaje",,samajeperine/2558138,RB,235,
21,"Castle Rock , CO",6/7/1996,Stanford,Active,Carolina Panthers,Rookie,72,Valor Christian HS,"Highlands Ranch, CO","McCaffrey, Christian",,christianmccaffrey/2557997,RB,197,
21,,8/6/1995,Toledo,Active,Kansas City Chiefs,Rookie,71,South HS,"Willoughby, OH","Hunt, Kareem",,kareemhunt/2557917,RB,208,
21,,7/26/1995,North Carolina A&T,Active,Chicago Bears,Rookie,66,Bunn HS,"Bunn, NC","Cohen, Tarik",,tarikcohen/2558250,RB,179,
21,"Alton , IL",7/22/1995,Ohio State,Active,Dallas Cowboys,2nd season,72,John Burroughs School HS,"St. Louis, MO","Elliott, Ezekiel",21,ezekielelliott/2555224,RB,225,
21,"Miami , FL",8/10/1995,Florida State,Active,Minnesota Vikings,Rookie,71,Miami Central HS,"West Little River, FL","Cook, Dalvin",,dalvincook/2557991,RB,213,
21,"Norcross , GA",7/25/1995,Tennessee,Active,New Orleans Saints,Rookie,70,Norcross HS,GA,"Kamara, Alvin",,alvinkamara/2558019,RB,215,
21,"Long Beach , CA",12/26/1995,Boise State,Active,Tampa Bay Buccaneers,Rookie,69,Santa Margarita Catholic HS,"Rancho Santa Margarita, CA","McNichols, Jeremy",,jeremymcnichols/2557977,RB,212,
21,"Texas City , TX",4/24/1996,Texas,Active,Houston Texans,Rookie,73,Teax City HS,TX,"Foreman, D'Onta",,d'ontaforeman/2557994,RB,249,
20,"Cedar Grove , NJ",7/10/1996,Miami (Fla.),Active,Cleveland Browns,Rookie,76,Cedar Grove HS,NJ,"Njoku, David",,davidnjoku/2557986,TE,245,
21,"Pickerington , OH",7/11/1995,Michigan,Active,Denver Broncos,Rookie,78,Pickerington High School North HS,OH,"Butt, Jake",,jakebutt/2557859,TE,250,
19,"Flanders , NJ",7/19/1997,Ohio State,Active,Dallas Cowboys,Rookie,74,Pope John XXIII Regional HS,"Sparta, NJ","Brown, Noah",,noahbrown/2558091,WR,218,
20,"Brooklyn , NY",8/11/1996,Ohio State,Active,Carolina Panthers,Rookie,71,Erasmus Hall HS,"Brooklyn, NY","Samuel, Curtis",,curtissamuel/2558066,WR,197,
20,"Long Beach , CA",11/22/1996,USC,Active,Pittsburgh Steelers,Rookie,74,Long Beach Polytechnic HS,"Long Beach, CA","Smith-Schuster, JuJu",,jujusmith-schuster/2558149,WR,220,
21,"Jacksonville , FL",2/9/1996,Virginia Tech,Active,Miami Dolphins,Rookie,74,Trinity Christian Academy HS,"Jacksonville, FL","Ford, Isaiah",,isaiahford/2558071,WR,195,
21,"Portland , OR",8/4/1995,Eastern Washington,Active,San Francisco 49ers,Rookie,73,Milwaukie Arts Academy HS,"Portland, OR","Bourne, Kendrick",,kendrickbourne/2558914,WR,203,
